Location,INDICATOR,SUBJECT,MEASURE,Date,Value,Numar_persoane,Barbati,Femei
NZL,EMPEDU,Liceu,PC_25_64,1981,80.579987,51,16,35
NZL,EMPEDU,Liceu,PC_25_64,1990,75.055901,43,33,10
NZL,EMPEDU,Liceu,PC_25_64,1991,73.311836,53,22,31
NZL,EMPEDU,Liceu,PC_25_64,1992,73.091179,81,70,11
NZL,EMPEDU,Liceu,PC_25_64,1994,79.132454,30,17,13
NZL,EMPEDU,Liceu,PC_25_64,1995,81.755188,37,6,31
NZL,EMPEDU,Liceu,PC_25_64,1997,80.148605,11,7,4
NZL,EMPEDU,Liceu,PC_25_64,1998,79.085892,81,19,62
NZL,EMPEDU,Liceu,PC_25_64,1999,79.709686,96,42,54
NZL,EMPEDU,Liceu,PC_25_64,2000,80.012154,55,28,27
NZL,EMPEDU,Liceu,PC_25_64,2001,80.18084,31,1,30
NZL,EMPEDU,Liceu,PC_25_64,2002,81.208153,17,15,2
NZL,EMPEDU,Liceu,PC_25_64,2003,81.359337,67,58,9
NZL,EMPEDU,Liceu,PC_25_64,2004,82.676079,27,8,19
NZL,EMPEDU,Liceu,PC_25_64,2005,84.239845,60,30,30
NZL,EMPEDU,Liceu,PC_25_64,2006,84.23645,18,12,6
NZL,EMPEDU,Liceu,PC_25_64,2007,84.633499,92,65,27
NZL,EMPEDU,Liceu,PC_25_64,2008,83.333336,22,2,20
NZL,EMPEDU,Liceu,PC_25_64,2009,82.433228,86,54,32
NZL,EMPEDU,Liceu,PC_25_64,2010,82.047951,61,2,59
NZL,EMPEDU,Liceu,PC_25_64,2011,82.064568,40,7,33
NZL,EMPEDU,Liceu,PC_25_64,2012,81.329849,36,5,31
NZL,EMPEDU,Liceu,PC_25_64,2013,81.130272,27,8,19
NZL,EMPEDU,Liceu,PC_25_64,2014,80.34404,34,16,18
NZL,EMPEDU,Liceu,PC_25_64,2015,81.348915,71,62,9
NZL,EMPEDU,Liceu,PC_25_64,2016,82.106155,29,4,25
NZL,EMPEDU,Liceu,PC_25_64,2017,82.556374,62,14,48
NZL,EMPEDU,Liceu,PC_25_64,2018,83.478004,23,14,9
NZL,EMPEDU,Liceu,PC_25_64,2019,82.946716,49,24,25
NZL,EMPEDU,Liceu,PC_25_64,2020,81.819893,60,0,60
NZL,EMPEDU,Liceu,PC_25_64,2021,83.292053,33,8,25
GBR,EMPEDU,Facultate,PC_25_64,1997,87.203308,97,39,58
GBR,EMPEDU,Facultate,PC_25_64,1998,87.075378,70,13,57
GBR,EMPEDU,Facultate,PC_25_64,1999,87.732735,18,9,9
GBR,EMPEDU,Facultate,PC_25_64,2000,87.755997,72,51,21
GBR,EMPEDU,Facultate,PC_25_64,2001,88.175331,100,22,78
GBR,EMPEDU,Facultate,PC_25_64,2002,87.619789,57,43,14
GBR,EMPEDU,Facultate,PC_25_64,2003,87.833679,99,20,79
GBR,EMPEDU,Facultate,PC_25_64,2004,87.675697,61,58,3
GBR,EMPEDU,Facultate,PC_25_64,2005,88.04351,19,13,6
GBR,EMPEDU,Facultate,PC_25_64,2006,87.540085,18,4,14
GBR,EMPEDU,Facultate,PC_25_64,2007,87.376877,10,9,1
GBR,EMPEDU,Facultate,PC_25_64,2008,84.997505,58,37,21
GBR,EMPEDU,Facultate,PC_25_64,2009,84.541405,66,4,62
GBR,EMPEDU,Facultate,PC_25_64,2010,84.20475,97,79,18
GBR,EMPEDU,Facultate,PC_25_64,2011,83.184135,47,21,26
GBR,EMPEDU,Facultate,PC_25_64,2012,84.065559,76,62,14
GBR,EMPEDU,Facultate,PC_25_64,2013,84.7882,22,1,21
GBR,EMPEDU,Facultate,PC_25_64,2014,84.583046,26,0,26
GBR,EMPEDU,Facultate,PC_25_64,2015,85.386436,36,14,22
GBR,EMPEDU,Facultate,PC_25_64,2016,85.069305,98,74,24
GBR,EMPEDU,Facultate,PC_25_64,2017,85.466637,64,25,39
GBR,EMPEDU,Facultate,PC_25_64,2018,86.119209,74,28,46
GBR,EMPEDU,Facultate,PC_25_64,2019,86.628654,91,83,8
GBR,EMPEDU,Facultate,PC_25_64,2020,86.339325,31,15,16
GBR,EMPEDU,Facultate,PC_25_64,2021,86.314072,63,11,52
CHE,EMPEDU,Gimnaziu,PC_25_64,1989,69.53299,79,24,55
CHE,EMPEDU,Gimnaziu,PC_25_64,1991,71.32328,43,13,30
CHE,EMPEDU,Gimnaziu,PC_25_64,1992,69.190521,63,46,17
CHE,EMPEDU,Gimnaziu,PC_25_64,1994,67.921509,60,50,10
CHE,EMPEDU,Gimnaziu,PC_25_64,1995,67.379211,61,51,10
CHE,EMPEDU,Gimnaziu,PC_25_64,1997,67.969604,64,35,29
CHE,EMPEDU,Gimnaziu,PC_25_64,1998,68.779854,42,32,10
CHE,EMPEDU,Gimnaziu,PC_25_64,1999,68.331108,63,26,37
CHE,EMPEDU,Gimnaziu,PC_25_64,2000,64.46402,48,42,6
CHE,EMPEDU,Gimnaziu,PC_25_64,2001,69.605507,64,31,33
CHE,EMPEDU,Gimnaziu,PC_25_64,2002,68.221146,34,7,27
CHE,EMPEDU,Gimnaziu,PC_25_64,2003,66.255959,27,16,11
CHE,EMPEDU,Gimnaziu,PC_25_64,2004,65.375191,89,43,46
CHE,EMPEDU,Gimnaziu,PC_25_64,2005,65.251854,24,19,5
CHE,EMPEDU,Gimnaziu,PC_25_64,2006,64.473915,59,51,8
CHE,EMPEDU,Gimnaziu,PC_25_64,2007,65.966141,13,10,3
CHE,EMPEDU,Gimnaziu,PC_25_64,2008,67.624359,83,81,2
CHE,EMPEDU,Gimnaziu,PC_25_64,2009,67.486542,99,32,67
CHE,EMPEDU,Gimnaziu,PC_25_64,2010,66.138481,41,15,26
CHE,EMPEDU,Gimnaziu,PC_25_64,2011,66.620018,84,41,43
CHE,EMPEDU,Gimnaziu,PC_25_64,2012,66.815224,96,51,45
CHE,EMPEDU,Gimnaziu,PC_25_64,2013,67.016556,65,21,44
CHE,EMPEDU,Gimnaziu,PC_25_64,2014,67.452423,81,22,59
CHE,EMPEDU,Gimnaziu,PC_25_64,2015,67.571083,52,11,41
CHE,EMPEDU,Gimnaziu,PC_25_64,2016,67.597321,38,4,34
CHE,EMPEDU,Gimnaziu,PC_25_64,2017,67.160423,98,47,51
CHE,EMPEDU,Gimnaziu,PC_25_64,2018,68.587822,50,15,35
CHE,EMPEDU,Gimnaziu,PC_25_64,2019,68.791687,61,41,20
CHE,EMPEDU,Gimnaziu,PC_25_64,2020,69.120865,91,11,80
CHE,EMPEDU,Gimnaziu,PC_25_64,2021,66.632103,33,24,9
TUR,EMPEDU,Facultate,PC_25_64,1991,86.973473,90,43,47
TUR,EMPEDU,Facultate,PC_25_64,1992,86.55246,51,48,3
TUR,EMPEDU,Facultate,PC_25_64,1994,85.289635,19,7,12
TUR,EMPEDU,Facultate,PC_25_64,1995,74.10321,45,16,29
TUR,EMPEDU,Facultate,PC_25_64,1997,81.67852,91,52,39
TUR,EMPEDU,Facultate,PC_25_64,1998,81.317764,34,6,28
TUR,EMPEDU,Facultate,PC_25_64,1999,78.97081,61,19,42
TUR,EMPEDU,Facultate,PC_25_64,2000,78.475754,92,1,91
TUR,EMPEDU,Facultate,PC_25_64,2001,78.274338,98,13,85
TUR,EMPEDU,Facultate,PC_25_64,2002,76.289063,67,31,36
TUR,EMPEDU,Facultate,PC_25_64,2003,74.85836,83,70,13
TUR,EMPEDU,Facultate,PC_25_64,2004,74.467293,83,72,11
TUR,EMPEDU,Facultate,PC_25_64,2005,75.22998,17,2,15
TUR,EMPEDU,Facultate,PC_25_64,2006,74.509804,94,2,92
TUR,EMPEDU,Facultate,PC_25_64,2007,74.605957,27,25,2
TUR,EMPEDU,Facultate,PC_25_64,2008,74.540611,63,24,39
TUR,EMPEDU,Facultate,PC_25_64,2009,73.554733,84,9,75
TUR,EMPEDU,Facultate,PC_25_64,2010,75.710953,75,68,7
TUR,EMPEDU,Facultate,PC_25_64,2011,76.067108,74,8,66
TUR,EMPEDU,Facultate,PC_25_64,2012,76.171501,100,89,11
TUR,EMPEDU,Facultate,PC_25_64,2013,76.977776,80,68,12
TUR,EMPEDU,Facultate,PC_25_64,2014,76.13636,98,16,82
TUR,EMPEDU,Facultate,PC_25_64,2015,76.161552,41,26,15
TUR,EMPEDU,Facultate,PC_25_64,2016,75.003456,18,13,5
TUR,EMPEDU,Facultate,PC_25_64,2017,75.208984,70,13,57
TUR,EMPEDU,Facultate,PC_25_64,2018,74.325996,53,23,30
TUR,EMPEDU,Facultate,PC_25_64,2019,73.619423,36,5,31
TUR,EMPEDU,Facultate,PC_25_64,2021,72.292519,35,6,29
NLD,EMPEDU,Facultate,PC_25_64,1990,81.381577,11,9,2
NLD,EMPEDU,Facultate,PC_25_64,1991,84.629982,36,33,3
NLD,EMPEDU,Facultate,PC_25_64,1992,83.742691,74,31,43
NLD,EMPEDU,Facultate,PC_25_64,1994,81.879196,99,47,52
NLD,EMPEDU,Facultate,PC_25_64,1995,82.849464,61,10,51
NLD,EMPEDU,Facultate,PC_25_64,1998,85.355453,56,22,34
NLD,EMPEDU,Facultate,PC_25_64,2000,86.283089,90,67,23
NLD,EMPEDU,Facultate,PC_25_64,2001,86.321892,83,39,44
NLD,EMPEDU,Facultate,PC_25_64,2002,86.45549,25,19,6
NLD,EMPEDU,Facultate,PC_25_64,2003,85.877647,52,22,30
NLD,EMPEDU,Facultate,PC_25_64,2004,85.337799,56,43,13
NLD,EMPEDU,Facultate,PC_25_64,2005,85.622635,32,27,5
NLD,EMPEDU,Facultate,PC_25_64,2006,86.380783,15,4,11
NLD,EMPEDU,Facultate,PC_25_64,2007,87.731361,77,43,34
NLD,EMPEDU,Facultate,PC_25_64,2008,88.308357,74,28,46
NLD,EMPEDU,Facultate,PC_25_64,2009,88.052246,27,14,13
NLD,EMPEDU,Facultate,PC_25_64,2010,87.521606,72,67,5
NLD,EMPEDU,Facultate,PC_25_64,2011,87.23703,37,17,20
NLD,EMPEDU,Facultate,PC_25_64,2012,87.643303,39,4,35
NLD,EMPEDU,Facultate,PC_25_64,2013,87.976959,59,20,39
NLD,EMPEDU,Facultate,PC_25_64,2014,87.658478,50,4,46
NLD,EMPEDU,Facultate,PC_25_64,2015,88.234077,46,28,18
NLD,EMPEDU,Facultate,PC_25_64,2016,88.424866,63,0,63
NLD,EMPEDU,Facultate,PC_25_64,2017,88.830811,71,53,18
NLD,EMPEDU,Facultate,PC_25_64,2018,89.607353,71,57,14
NLD,EMPEDU,Facultate,PC_25_64,2019,89.671005,98,18,80
NLD,EMPEDU,Facultate,PC_25_64,2020,89.500687,67,23,44
NLD,EMPEDU,Facultate,PC_25_64,2021,89.027794,73,45,28
GRC,EMPEDU,Liceu,PC_25_64,1987,61.616737,33,6,27
GRC,EMPEDU,Liceu,PC_25_64,1988,61.868504,70,21,49
GRC,EMPEDU,Liceu,PC_25_64,1989,62.205051,84,32,52
GRC,EMPEDU,Liceu,PC_25_64,1990,63.353134,81,25,56
GRC,EMPEDU,Liceu,PC_25_64,1991,62.71814,52,42,10
GRC,EMPEDU,Liceu,PC_25_64,1992,62.721313,79,23,56
GRC,EMPEDU,Liceu,PC_25_64,1993,62.319134,33,32,1
GRC,EMPEDU,Liceu,PC_25_64,1994,62.40609,78,10,68
GRC,EMPEDU,Liceu,PC_25_64,1995,63.395378,35,33,2
GRC,EMPEDU,Liceu,PC_25_64,1996,63.955868,53,20,33
GRC,EMPEDU,Liceu,PC_25_64,1997,64.180321,69,55,14
GRC,EMPEDU,Liceu,PC_25_64,1998,65.684105,71,57,14
GRC,EMPEDU,Liceu,PC_25_64,1999,64.562759,18,13,5
GRC,EMPEDU,Liceu,PC_25_64,2000,64.586845,46,42,4
