COUNTRY,INDICATOR,Time,NoHours
AUS,HRWKD,2018,1732.53874302482
AUS,HRWKD,2019,1722.31334232542
AUS,HRWKD,2020,1683.11193199766
AUS,HRWKD,2021,1694.12905338561
AUT,HRWKD,2018,1502
AUT,HRWKD,2019,1508.64347667649
AUT,HRWKD,2020,1400.69358244345
AUT,HRWKD,2021,1442.45375748537
BEL,HRWKD,2018,1580
BEL,HRWKD,2019,1577
BEL,HRWKD,2020,1443
BEL,HRWKD,2021,1493.12638580931
CAN,HRWKD,2018,1708
CAN,HRWKD,2019,1690
CAN,HRWKD,2020,1644
CAN,HRWKD,2021,1684.99840044174
CZE,HRWKD,2018,1784.66636269155
CZE,HRWKD,2019,1786.03344465839
CZE,HRWKD,2020,1703.59653546415
CZE,HRWKD,2021,1752.82063270898
DNK,HRWKD,2018,1381.28888987796
DNK,HRWKD,2019,1371.49881061049
DNK,HRWKD,2020,1342.32701888433
DNK,HRWKD,2021,1363.43075437447
FIN,HRWKD,2018,1546.37323846403
FIN,HRWKD,2019,1538.37118618515
FIN,HRWKD,2020,1528.78994195106
FIN,HRWKD,2021,1518.26736906017
FRA,HRWKD,2018,1514.41032743803
FRA,HRWKD,2019,1518.15725565889
FRA,HRWKD,2020,1407.25763480479
FRA,HRWKD,2021,1490.33174431957
DEU,HRWKD,2018,1384.7
DEU,HRWKD,2019,1381.5
DEU,HRWKD,2020,1324.2
DEU,HRWKD,2021,1349.3
GRC,HRWKD,2018,1961.08118109017
GRC,HRWKD,2019,1916.66005063335
GRC,HRWKD,2020,1730.73763920219
GRC,HRWKD,2021,1872.23705073194
HUN,HRWKD,2018,1729.9
HUN,HRWKD,2019,1722.2
HUN,HRWKD,2020,1657.1
HUN,HRWKD,2021,1697.1
ISL,HRWKD,2018,1496.45607107601
ISL,HRWKD,2019,1480.14822134387
ISL,HRWKD,2020,1446.23962655602
ISL,HRWKD,2021,1433.40955284553
IRL,HRWKD,2018,1782
IRL,HRWKD,2019,1771
IRL,HRWKD,2020,1746
IRL,HRWKD,2021,1775
ITA,HRWKD,2018,1719.4
ITA,HRWKD,2019,1710.2
ITA,HRWKD,2020,1553.6
ITA,HRWKD,2021,1668.5
JPN,HRWKD,2018,1680.16706755507
JPN,HRWKD,2019,1643.81852049291
JPN,HRWKD,2020,1597.98137890323
JPN,HRWKD,2021,1607
KOR,HRWKD,2018,1993
KOR,HRWKD,2019,1967
KOR,HRWKD,2020,1908
KOR,HRWKD,2021,1915
LUX,HRWKD,2018,1509
LUX,HRWKD,2019,1507
LUX,HRWKD,2020,1420
LUX,HRWKD,2021,1382
MEX,HRWKD,2018,2149.40816249208
MEX,HRWKD,2019,2138.88973353248
MEX,HRWKD,2020,2123.53725184504
MEX,HRWKD,2021,2127.80798709157
NLD,HRWKD,2018,1436.06016156463
NLD,HRWKD,2019,1438.52012093411
NLD,HRWKD,2020,1406.86703688181
NLD,HRWKD,2021,1416.54266598044
NZL,HRWKD,2018,1759
NZL,HRWKD,2019,1783
NZL,HRWKD,2020,1739
NZL,HRWKD,2021,1730
NOR,HRWKD,2018,1419.2
NOR,HRWKD,2019,1418.6
NOR,HRWKD,2020,1410.7
NOR,HRWKD,2021,1427.1
POL,HRWKD,2018,1787.32860357238
POL,HRWKD,2019,1782.62521918646
POL,HRWKD,2020,1768.75639746518
POL,HRWKD,2021,1830.23680735821
PRT,HRWKD,2018,1737.70375215135
PRT,HRWKD,2019,1743.93031905266
PRT,HRWKD,2020,1611.19346205528
PRT,HRWKD,2021,1648.9427488591
SVK,HRWKD,2018,1703.92396055708
SVK,HRWKD,2019,1691.98630781248
SVK,HRWKD,2020,1571.98039240206
SVK,HRWKD,2021,1583.15940762679
ESP,HRWKD,2018,1697.62195152733
ESP,HRWKD,2019,1682.93641908017
ESP,HRWKD,2020,1569.67218571875
ESP,HRWKD,2021,1640.94070030968
SWE,HRWKD,2018,1466.18058667684
SWE,HRWKD,2019,1453.42360181864
SWE,HRWKD,2020,1426.15544289783
SWE,HRWKD,2021,1444.28508500871
CHE,HRWKD,2018,1551.41571943214
CHE,HRWKD,2019,1549.43467859147
CHE,HRWKD,2020,1498.49979109325
CHE,HRWKD,2021,1533.30415801523
TUR,HRWKD,2018,1745.19088064372
TUR,HRWKD,2019,1732.08761734466
TUR,HRWKD,2020,1572.39159588735
GBR,HRWKD,2018,1536.17570701615
GBR,HRWKD,2019,1537.04327841863
GBR,HRWKD,2020,1363.76723547926
GBR,HRWKD,2021,1497.37546260946
USA,HRWKD,2018,1781.56716666667
USA,HRWKD,2019,1777.241
USA,HRWKD,2020,1767.095
USA,HRWKD,2021,1791
CHL,HRWKD,2018,1955.5
CHL,HRWKD,2019,1929.5
CHL,HRWKD,2020,1825.3
CHL,HRWKD,2021,1915.6
EST,HRWKD,2018,1707.19346662839
EST,HRWKD,2019,1694.39617724409
EST,HRWKD,2020,1637.15602832168
EST,HRWKD,2021,1767.05573109025
ISR,HRWKD,2018,1910.1
ISR,HRWKD,2019,1898.1
ISR,HRWKD,2020,1782.5
ISR,HRWKD,2021,1752.8
RUS,HRWKD,2018,1970
RUS,HRWKD,2019,1965
RUS,HRWKD,2020,1874
SVN,HRWKD,2018,1599.10935830108
SVN,HRWKD,2019,1601.83510272139
SVN,HRWKD,2020,1533.82266949805
SVN,HRWKD,2021,1596.39539162465
OECD,HRWKD,2018,1752.53065440909
OECD,HRWKD,2019,1741.93150664584
OECD,HRWKD,2020,1667.98761120338
OECD,HRWKD,2021,1715.81774145285
LVA,HRWKD,2018,1661.30900321798
LVA,HRWKD,2019,1631.03648732936
LVA,HRWKD,2020,1576.93028785356
LVA,HRWKD,2021,1601.20285053268
LTU,HRWKD,2018,1664.02142625743
LTU,HRWKD,2019,1665.38172630321
LTU,HRWKD,2020,1594.92569904759
LTU,HRWKD,2021,1619.97786313746
CRI,HRWKD,2018,2121
CRI,HRWKD,2019,2059.6
CRI,HRWKD,2020,1913.2
CRI,HRWKD,2021,2073.3
BGR,HRWKD,2018,1644.57156324894
BGR,HRWKD,2019,1645.2473951332
BGR,HRWKD,2020,1604.8252709355
BGR,HRWKD,2021,1619.42210999335
COL,HRWKD,2018,2283.32583906224
COL,HRWKD,2019,2272.19292798403
COL,HRWKD,2020,1963.97052431593
HRV,HRWKD,2018,1811.05942329525
HRV,HRWKD,2019,1837.76552771773
HRV,HRWKD,2020,1833.62169962836
HRV,HRWKD,2021,1835.00137127287
CYP,HRWKD,2018,1809.12467387731
CYP,HRWKD,2019,1809.14361966208
CYP,HRWKD,2020,1701.47059487731
CYP,HRWKD,2021,1745.30859816963
MLT,HRWKD,2018,1972.17961291188
MLT,HRWKD,2019,2062.89849325932
MLT,HRWKD,2020,1902.34049449023
MLT,HRWKD,2021,1882.24120114279
ROU,HRWKD,2018,1786.98268278002
ROU,HRWKD,2019,1803.11220301752
ROU,HRWKD,2020,1806.34627835525
ROU,HRWKD,2021,1838.42642611595
EU27,HRWKD,2018,1597.67756876298
EU27,HRWKD,2019,1593.67765719461
EU27,HRWKD,2020,1511.50849439117
EU27,HRWKD,2021,1565.55125172185
