LOCATION,INDICATOR,GEN,Year,Value
AUS,SELFEMP,MEN,2018,11.37172
AUS,SELFEMP,MEN,2019,11.33459
AUS,SELFEMP,MEN,2020,10.82315
AUS,SELFEMP,MEN,2021,10.82267
AUT,SELFEMP,MEN,2018,14.27996
AUT,SELFEMP,MEN,2019,14.51641
AUT,SELFEMP,MEN,2020,14.55356
AUT,SELFEMP,MEN,2021,14.10642
BEL,SELFEMP,MEN,2018,16.92148
BEL,SELFEMP,MEN,2019,17.32343
BEL,SELFEMP,MEN,2020,18.03317
BEL,SELFEMP,MEN,2021,17.49944
CAN,SELFEMP,MEN,2018,8.493794
CAN,SELFEMP,MEN,2019,8.404029
CAN,SELFEMP,MEN,2020,8.800849
CAN,SELFEMP,MEN,2021,7.96308
CZE,SELFEMP,MEN,2018,20.55459
CZE,SELFEMP,MEN,2019,20.37602
CZE,SELFEMP,MEN,2020,20.28003
CZE,SELFEMP,MEN,2021,19.344
DNK,SELFEMP,MEN,2018,10.82561
DNK,SELFEMP,MEN,2019,10.95922
DNK,SELFEMP,MEN,2020,11.19477
DNK,SELFEMP,MEN,2021,11.76681
FIN,SELFEMP,MEN,2018,16.89956
FIN,SELFEMP,MEN,2019,16.99991
FIN,SELFEMP,MEN,2020,17.29536
FIN,SELFEMP,MEN,2021,18.85007
FRA,SELFEMP,MEN,2021,15.60931
DEU,SELFEMP,MEN,2018,12.17333
DEU,SELFEMP,MEN,2019,11.90776
DEU,SELFEMP,MEN,2021,10.87216
GRC,SELFEMP,MEN,2018,37.08267
GRC,SELFEMP,MEN,2019,35.76385
GRC,SELFEMP,MEN,2020,35.78616
GRC,SELFEMP,MEN,2021,36.23729
HUN,SELFEMP,MEN,2018,12.30263
HUN,SELFEMP,MEN,2019,12.87366
HUN,SELFEMP,MEN,2020,14.12942
HUN,SELFEMP,MEN,2021,14.81044
IRL,SELFEMP,MEN,2018,21.01308
IRL,SELFEMP,MEN,2019,20.0814
IRL,SELFEMP,MEN,2020,19.70084
IRL,SELFEMP,MEN,2021,19.25576
ITA,SELFEMP,MEN,2018,27.25902
ITA,SELFEMP,MEN,2019,26.87684
ITA,SELFEMP,MEN,2020,26.74226
ITA,SELFEMP,MEN,2021,25.96695
JPN,SELFEMP,MEN,2018,11.51395
JPN,SELFEMP,MEN,2019,11.29682
JPN,SELFEMP,MEN,2020,11.22399
JPN,SELFEMP,MEN,2021,11.10363
KOR,SELFEMP,MEN,2018,26.97212
KOR,SELFEMP,MEN,2019,26.56362
KOR,SELFEMP,MEN,2020,26.5078
KOR,SELFEMP,MEN,2021,26.41369
MEX,SELFEMP,MEN,2018,31.37543
MEX,SELFEMP,MEN,2019,31.31705
MEX,SELFEMP,MEN,2020,30.95274
MEX,SELFEMP,MEN,2021,31.62194
NLD,SELFEMP,MEN,2018,19.75009
NLD,SELFEMP,MEN,2019,19.64121
NLD,SELFEMP,MEN,2020,20.32846
NLD,SELFEMP,MEN,2021,19.46601
NZL,SELFEMP,MEN,2018,21.41396
NZL,SELFEMP,MEN,2019,21.83874
NZL,SELFEMP,MEN,2020,22.95285
NZL,SELFEMP,MEN,2021,22.99007
POL,SELFEMP,MEN,2018,23.71814
POL,SELFEMP,MEN,2019,23.48131
POL,SELFEMP,MEN,2020,24.32631
POL,SELFEMP,MEN,2021,23.83918
PRT,SELFEMP,MEN,2018,20.66343
PRT,SELFEMP,MEN,2021,18.98399
ESP,SELFEMP,MEN,2018,19.4342
ESP,SELFEMP,MEN,2019,18.99958
ESP,SELFEMP,MEN,2020,19.38032
ESP,SELFEMP,MEN,2021,19.32293
SWE,SELFEMP,MEN,2018,13.49214
SWE,SELFEMP,MEN,2020,13.69035
SWE,SELFEMP,MEN,2021,14.52812
CHE,SELFEMP,MEN,2018,16.59273
CHE,SELFEMP,MEN,2019,16.04144
CHE,SELFEMP,MEN,2020,16.20731
CHE,SELFEMP,MEN,2021,17.22206
TUR,SELFEMP,MEN,2018,30.80286
TUR,SELFEMP,MEN,2019,30.7041
TUR,SELFEMP,MEN,2020,29.79115
USA,SELFEMP,MEN,2018,7.262526
USA,SELFEMP,MEN,2019,6.994946
USA,SELFEMP,MEN,2020,7.046813
USA,SELFEMP,MEN,2021,7.373599
BRA,SELFEMP,MEN,2018,35.88379
BRA,SELFEMP,MEN,2019,35.87218
BRA,SELFEMP,MEN,2020,36.21421
BRA,SELFEMP,MEN,2021,37.27986
CHL,SELFEMP,MEN,2018,26.61324
CHL,SELFEMP,MEN,2019,26.68012
CHL,SELFEMP,MEN,2020,23.6579
CHL,SELFEMP,MEN,2021,25.52172
COL,SELFEMP,MEN,2018,54.78591
COL,SELFEMP,MEN,2019,51.2986
COL,SELFEMP,MEN,2020,52.45057
COL,SELFEMP,MEN,2021,54.18624
ISR,SELFEMP,MEN,2018,15.17867
ISR,SELFEMP,MEN,2019,14.93325
ISR,SELFEMP,MEN,2020,15.38308
